"SCD_RxCUI","Status","DF_str","SCD_str","ROUTE_rxt","NEWDF_rxt","Original Term Name","Original Term Source","Proposed Attribute ID","Proposed Attribute Category","Proposed Attribute Attribute","Proposed Term ID","Proposed Term Parent ID","Proposed Term Name"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","MDI 400 puff","RxTerms","8","Delivery Device","Capacity","681","0","400 puff"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","MDI 400 puff","RxTerms","7","Delivery Device","Type","439","437","Metered Dose Inhaler"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","MDI 400 puff","RxTerms","6","Administration","Method","452","0","Inhalation"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","MDI 400 puff","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","MDI 400 puff","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Inhalant","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Inhalant","RxTerms","6","Administration","Method","452","0","Inhalation"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Inhalant","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966811","Complete","Metered Dose Inhaler","400 ACTUAT Pirbuterol acetate 0.2 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 400 puff","Inhalant","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Metered Dose Inhaler","NDFRT","7","Delivery Device","Type","439","437","Metered Dose Inhaler"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Metered Dose Inhaler","NDFRT","6","Administration","Method","452","0","Inhalation"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Metered Dose Inhaler","NDFRT","5","Administration","Route","536","0","Intrapulmonary route"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Metered Dose Inhaler","NDFRT","2","Dose Form","Delivery Form","394","0","Aerosol"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","MDI 80 puff","RxTerms","8","Delivery Device","Capacity","700","0","80 puff"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","MDI 80 puff","RxTerms","7","Delivery Device","Type","439","437","Metered Dose Inhaler"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","MDI 80 puff","RxTerms","6","Administration","Method","452","0","Inhalation"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","MDI 80 puff","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","MDI 80 puff","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Inhalant","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Inhalant","RxTerms","6","Administration","Method","452","0","Inhalation"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Inhalant","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966635","In Progress","Metered Dose Inhaler","80 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 80 puff","Inhalant","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Nasal","RxTerms","5","Administration","Route","559","0","Nasal route"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Nasal Inhaler","NDFRT","7","Delivery Device","Type","437","0","Inhaler"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Nasal Inhaler","NDFRT","6","Administration","Method","452","0","Inhalation"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Nasal Inhaler","NDFRT","5","Administration","Route","559","0","Nasal route"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Nasal Inhaler","NDFRT","2","Dose Form","Delivery Form","394","0","Aerosol"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Inhaler 180 puff","RxTerms","8","Delivery Device","Capacity","654","0","180 puff"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Inhaler 180 puff","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Inhaler 180 puff","RxTerms","6","Administration","Method","452","0","Inhalation"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Inhaler 180 puff","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966545","Complete","Nasal Inhaler","180 ACTUAT Beclomethasone Dipropionate 0.042 MG/ACTUAT Nasal Inhaler","Nasal","Inhaler 180 puff","Inhaler 180 puff","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Metered Dose Inhaler","NDFRT","7","Delivery Device","Type","439","437","Metered Dose Inhaler"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Metered Dose Inhaler","NDFRT","6","Administration","Method","452","0","Inhalation"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Metered Dose Inhaler","NDFRT","5","Administration","Route","536","0","Intrapulmonary route"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Metered Dose Inhaler","NDFRT","2","Dose Form","Delivery Form","394","0","Aerosol"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","MDI 168 puff","RxTerms","8","Delivery Device","Capacity","652","0","168 puff"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","MDI 168 puff","RxTerms","7","Delivery Device","Type","439","437","Metered Dose Inhaler"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","MDI 168 puff","RxTerms","6","Administration","Method","452","0","Inhalation"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","MDI 168 puff","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","MDI 168 puff","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Inhalant","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Inhalant","RxTerms","6","Administration","Method","452","0","Inhalation"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Inhalant","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966531","Complete","Metered Dose Inhaler","168 ACTUAT Nicotine 4 MG/ACTUAT Metered Dose Inhaler","Inhalant","MDI 168 puff","Inhalant","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Inhalant","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Inhalant","RxTerms","6","Administration","Method","452","0","Inhalation"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Inhalant","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Inhalant","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Dry Powder Inhaler","NDFRT","7","Delivery Device","Type","437","0","Inhaler"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Dry Powder Inhaler","NDFRT","6","Administration","Method","452","0","Inhalation"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Dry Powder Inhaler","NDFRT","5","Administration","Route","536","0","Intrapulmonary route"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Dry Powder Inhaler","NDFRT","2","Dose Form","Delivery Form","394","0","Aerosol"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","Dry Powder Inhaler","NDFRT","1","Dose Form","Drug Form","428","412","Powder"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","DPI 200 puff","RxTerms","8","Delivery Device","Capacity","662","0","200 puff"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","DPI 200 puff","RxTerms","7","Delivery Device","Type","437","0","Inhaler"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","DPI 200 puff","RxTerms","6","Administration","Method","452","0","Inhalation"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","DPI 200 puff","RxTerms","5","Administration","Route","536","0","Intrapulmonary route"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","DPI 200 puff","RxTerms","2","Dose Form","Delivery Form","394","0","Aerosol"
"966525","Complete","Dry Powder Inhaler","200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler","Inhalant","DPI 200 puff","DPI 200 puff","RxTerms","1","Dose Form","Drug Form","428","412","Powder"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Tab","RxTerms","2","Dose Form","Delivery Form","425","412","Tablet"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Tab","RxTerms","1","Dose Form","Drug Form","425","412","Tablet"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Tablet","NDFRT","5","Administration","Route","564","0","Oral route"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Tablet","NDFRT","2","Dose Form","Delivery Form","425","412","Tablet"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Tablet","NDFRT","1","Dose Form","Drug Form","425","412","Tablet"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Pill","RxTerms","6","Administration","Method","457","0","Swallow"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Pill","RxTerms","5","Administration","Route","564","0","Oral route"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Pill","RxTerms","2","Dose Form","Delivery Form","425","412","Tablet"
"96304","Complete","Oral Tablet","Primidone 250 MG Oral Tablet","Oral Pill","Tab","Oral Pill","RxTerms","1","Dose Form","Drug Form","425","412","Tablet"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Topical","RxTerms","5","Administration","Route","592","0","Topical route"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Topical Ointment","NDFRT","5","Administration","Route","592","0","Topical route"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Topical Ointment","NDFRT","2","Dose Form","Delivery Form","409","405","Ointment"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Topical Ointment","NDFRT","1","Dose Form","Drug Form","409","405","Ointment"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Ointment","RxTerms","5","Administration","Route","592","0","Topical route"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Ointment","RxTerms","2","Dose Form","Delivery Form","409","405","Ointment"
"95721","Complete","Topical Ointment","ichthammol 0.2 MG/MG Topical Ointment","Topical","Ointment","Ointment","RxTerms","1","Dose Form","Drug Form","409","405","Ointment"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Sol","RxTerms","2","Dose Form","Delivery Form","399","396","Solution"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Sol","RxTerms","1","Dose Form","Drug Form","399","396","Solution"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Oral Solution","NDFRT","5","Administration","Route","564","0","Oral route"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Oral Solution","NDFRT","2","Dose Form","Delivery Form","399","396","Solution"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Oral Solution","NDFRT","1","Dose Form","Drug Form","399","396","Solution"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Oral Liquid","RxTerms","5","Administration","Route","564","0","Oral route"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Oral Liquid","RxTerms","2","Dose Form","Delivery Form","396","0","Liquid"
"95267","Complete","Oral Solution","Glucose 500 MG/ML Oral Solution","Oral Liquid","Sol","Oral Liquid","RxTerms","1","Dose Form","Drug Form","396","0","Liquid"
"91348","Complete","Topical Solution","Hydrogen Peroxide 300 MG/ML Topical Solution","Topical","Sol","Topical","RxTerms","5","Administration","Route","592","0","Topical route"
"91348","Complete","Topical Solution","Hydrogen Peroxide 300 MG/ML Topical Solution","Topical","Sol","Topical Solution","NDFRT","5","Administration","Route","592","0","Topical route"
"91348","Complete","Topical Solution","Hydrogen Peroxide 300 MG/ML Topical Solution","Topical","Sol","Topical Solution","NDFRT","2","Dose Form","Delivery Form","399","396","Solution"
"91348","Complete","Topical Solution","Hydrogen Peroxide 300 MG/ML Topical Solution","Topical","Sol","Topical Solution","NDFRT","1","Dose Form","Drug Form","399","396","Solution"
"91348","Complete","Topical Solution","Hydrogen Peroxide 300 MG/ML Topical Solution","Topical","Sol","Sol","RxTerms","2","Dose Form","Delivery Form","399","396","Solution"
"91348","Complete","Topical Solution","Hydrogen Peroxide 300 MG/ML Topical Solution","Topical","Sol","Sol","RxTerms","1","Dose Form","Drug Form","399","396","Solution"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe","NDFRT","7","Delivery Device","Type","445","444","Prefilled Syringe"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe","NDFRT","6","Administration","Method","453","0","Injection"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe","NDFRT","2","Dose Form","Delivery Form","396","0","Liquid"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe","NDFRT","1","Dose Form","Drug Form","396","0","Liquid"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe 7 ml","RxTerms","8","Delivery Device","Capacity","694","0","7 ml"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe 7 ml","RxTerms","7","Delivery Device","Type","445","444","Prefilled Syringe"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe 7 ml","RxTerms","6","Administration","Method","453","0","Injection"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe 7 ml","RxTerms","2","Dose Form","Delivery Form","396","0","Liquid"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Prefilled Syringe 7 ml","RxTerms","1","Dose Form","Drug Form","396","0","Liquid"
"904810","Complete","Prefilled Syringe","7 ML Succinylcholine 20 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 7 ml","Injectable","RxTerms","6","Administration","Method","453","0","Injection"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe","NDFRT","7","Delivery Device","Type","445","444","Prefilled Syringe"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe","NDFRT","6","Administration","Method","453","0","Injection"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe","NDFRT","2","Dose Form","Delivery Form","396","0","Liquid"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe","NDFRT","1","Dose Form","Drug Form","396","0","Liquid"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe 55 ml","RxTerms","8","Delivery Device","Capacity","687","0","55 ml"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe 55 ml","RxTerms","7","Delivery Device","Type","445","444","Prefilled Syringe"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe 55 ml","RxTerms","6","Administration","Method","453","0","Injection"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe 55 ml","RxTerms","2","Dose Form","Delivery Form","396","0","Liquid"
"904809","Complete","Prefilled Syringe","55 ML Hydromorphone Hydrochloride 0.1 MG/ML Prefilled Syringe","Injectable","Prefilled Syringe 55 ml","Prefilled Syringe 55 ml","RxTerms","1","Dose Form","Drug Form","396","0","Liquid"
